Accuracy,F1 Score,Avg Loss,Rnn Type,Embedding Size,Learning Rate,Hidden Size,Num Layers,Freeze
0.61,0.60,0.66,plain,50,0.001,20,2,True
0.70,0.66,0.65,gru,50,0.001,20,2,True
0.71,0.73,0.62,lstm,50,0.001,20,2,True
0.70,0.67,0.71,plain,50,0.001,20,2,False
0.74,0.76,0.88,gru,50,0.001,20,2,False
0.75,0.75,0.83,lstm,50,0.001,20,2,False
0.59,0.60,0.68,plain,50,0.001,20,4,True
0.69,0.65,0.66,gru,50,0.001,20,4,True
0.70,0.66,0.65,lstm,50,0.001,20,4,True
0.69,0.68,0.72,plain,50,0.001,20,4,False
0.72,0.74,0.94,gru,50,0.001,20,4,False
0.74,0.74,0.96,lstm,50,0.001,20,4,False
0.53,0.59,0.69,plain,50,0.001,20,10,True
0.65,0.67,0.65,gru,50,0.001,20,10,True
0.60,0.47,0.67,lstm,50,0.001,20,10,True
0.60,0.61,0.67,plain,50,0.001,20,10,False
0.66,0.68,0.64,gru,50,0.001,20,10,False
0.69,0.68,0.64,lstm,50,0.001,20,10,False
0.54,0.40,0.69,plain,50,5e-05,20,2,True
0.55,0.41,0.68,gru,50,5e-05,20,2,True
0.55,0.24,0.68,lstm,50,5e-05,20,2,True
0.51,0.35,0.69,plain,50,5e-05,20,2,False
0.57,0.48,0.68,gru,50,5e-05,20,2,False
0.56,0.35,0.68,lstm,50,5e-05,20,2,False
0.52,0.36,0.68,plain,50,5e-05,20,4,True
0.57,0.53,0.68,gru,50,5e-05,20,4,True
0.57,0.41,0.67,lstm,50,5e-05,20,4,True
0.55,0.47,0.69,plain,50,5e-05,20,4,False
0.60,0.61,0.66,gru,50,5e-05,20,4,False
0.58,0.44,0.68,lstm,50,5e-05,20,4,False
0.51,0.36,0.69,plain,50,5e-05,20,10,True
0.60,0.61,0.67,gru,50,5e-05,20,10,True
0.51,nan,0.69,lstm,50,5e-05,20,10,True
0.53,0.37,0.69,plain,50,5e-05,20,10,False
0.62,0.63,0.66,gru,50,5e-05,20,10,False
0.59,0.42,0.68,lstm,50,5e-05,20,10,False
0.51,0.01,0.70,plain,50,1e-06,20,2,True
0.51,nan,0.70,gru,50,1e-06,20,2,True
0.51,nan,0.70,lstm,50,1e-06,20,2,True
0.51,0.01,0.70,plain,50,1e-06,20,2,False
0.51,nan,0.69,gru,50,1e-06,20,2,False
0.51,nan,0.69,lstm,50,1e-06,20,2,False
0.51,0.07,0.70,plain,50,1e-06,20,4,True
0.48,0.61,0.69,gru,50,1e-06,20,4,True
0.49,0.66,0.70,lstm,50,1e-06,20,4,True
0.51,0.53,0.69,plain,50,1e-06,20,4,False
0.51,nan,0.70,gru,50,1e-06,20,4,False
0.49,0.66,0.69,lstm,50,1e-06,20,4,False
0.51,nan,0.70,plain,50,1e-06,20,10,True
0.51,nan,0.69,gru,50,1e-06,20,10,True
0.51,nan,0.69,lstm,50,1e-06,20,10,True
0.49,0.66,0.70,plain,50,1e-06,20,10,False
0.49,0.66,0.70,gru,50,1e-06,20,10,False
0.51,nan,0.69,lstm,50,1e-06,20,10,False
0.64,0.64,0.76,plain,300,0.001,200,2,True
0.73,0.72,2.08,gru,300,0.001,200,2,True
0.69,0.63,2.26,lstm,300,0.001,200,2,True
0.73,0.71,1.13,plain,300,0.001,200,2,False
0.73,0.76,2.19,gru,300,0.001,200,2,False
0.77,0.78,1.51,lstm,300,0.001,200,2,False
0.63,0.63,0.65,plain,300,0.001,200,4,True
0.71,0.73,0.73,gru,300,0.001,200,4,True
0.74,0.74,1.13,lstm,300,0.001,200,4,True
0.59,0.64,0.72,plain,300,0.001,200,4,False
0.78,0.77,0.93,gru,300,0.001,200,4,False
0.74,0.76,0.54,lstm,300,0.001,200,4,False
0.48,0.51,0.70,plain,300,0.001,200,10,True
0.51,nan,0.69,gru,300,0.001,200,10,True
0.51,nan,0.69,lstm,300,0.001,200,10,True
0.51,nan,0.69,plain,300,0.001,200,10,False
0.51,nan,0.69,gru,300,0.001,200,10,False
0.51,nan,0.69,lstm,300,0.001,200,10,False
0.70,0.70,0.62,plain,300,0.001,20,2,True
0.71,0.70,1.25,gru,300,0.001,20,2,True
0.75,0.74,1.12,lstm,300,0.001,20,2,True
0.73,0.70,1.08,plain,300,0.001,20,2,False
0.73,0.72,1.64,gru,300,0.001,20,2,False
0.76,0.74,1.48,lstm,300,0.001,20,2,False
0.67,0.68,0.64,plain,300,0.001,20,4,True
0.72,0.71,1.07,gru,300,0.001,20,4,True
0.74,0.75,1.08,lstm,300,0.001,20,4,True
0.74,0.75,0.87,plain,300,0.001,20,4,False
0.75,0.73,1.51,gru,300,0.001,20,4,False
0.76,0.76,1.28,lstm,300,0.001,20,4,False
0.67,0.67,0.65,plain,300,0.001,20,10,True
0.70,0.63,0.89,gru,300,0.001,20,10,True
0.72,0.70,0.64,lstm,300,0.001,20,10,True
0.73,0.69,0.72,plain,300,0.001,20,10,False
0.74,0.73,1.14,gru,300,0.001,20,10,False
0.72,0.73,0.71,lstm,300,0.001,20,10,False
0.67,0.65,0.63,plain,300,5e-05,200,2,True
0.71,0.69,0.58,gru,300,5e-05,200,2,True
0.71,0.64,0.68,lstm,300,5e-05,200,2,True
0.63,0.68,0.67,plain,300,5e-05,200,2,False
0.72,0.73,0.58,gru,300,5e-05,200,2,False
0.74,0.74,0.58,lstm,300,5e-05,200,2,False
0.62,0.53,0.68,plain,300,5e-05,200,4,True
0.71,0.67,0.69,gru,300,5e-05,200,4,True
0.71,0.75,0.67,lstm,300,5e-05,200,4,True
0.64,0.67,0.66,plain,300,5e-05,200,4,False
0.73,0.74,0.62,gru,300,5e-05,200,4,False
0.71,0.69,0.63,lstm,300,5e-05,200,4,False
0.63,0.55,0.74,plain,300,5e-05,200,10,True
0.70,0.73,0.62,gru,300,5e-05,200,10,True
0.72,0.73,0.59,lstm,300,5e-05,200,10,True
0.62,0.59,0.73,plain,300,5e-05,200,10,False
0.71,0.67,0.63,gru,300,5e-05,200,10,False
0.70,0.67,0.77,lstm,300,5e-05,200,10,False
0.55,0.46,0.68,plain,300,5e-05,20,2,True
0.57,0.45,0.68,gru,300,5e-05,20,2,True
0.60,0.51,0.67,lstm,300,5e-05,20,2,True
0.53,0.49,0.68,plain,300,5e-05,20,2,False
0.60,0.51,0.67,gru,300,5e-05,20,2,False
0.66,0.64,0.65,lstm,300,5e-05,20,2,False
0.55,0.41,0.68,plain,300,5e-05,20,4,True
0.62,0.61,0.64,gru,300,5e-05,20,4,True
0.66,0.67,0.63,lstm,300,5e-05,20,4,True
0.61,0.52,0.67,plain,300,5e-05,20,4,False
0.66,0.67,0.62,gru,300,5e-05,20,4,False
0.69,0.67,0.60,lstm,300,5e-05,20,4,False
0.60,0.63,0.67,plain,300,5e-05,20,10,True
0.64,0.64,0.64,gru,300,5e-05,20,10,True
0.65,0.65,0.64,lstm,300,5e-05,20,10,True
0.57,0.49,0.68,plain,300,5e-05,20,10,False
0.65,0.67,0.63,gru,300,5e-05,20,10,False
0.66,0.65,0.63,lstm,300,5e-05,20,10,False
0.53,0.41,0.69,plain,300,1e-06,200,2,True
0.51,0.09,0.69,gru,300,1e-06,200,2,True
0.54,0.66,0.69,lstm,300,1e-06,200,2,True
0.49,0.31,0.69,plain,300,1e-06,200,2,False
0.50,0.66,0.69,gru,300,1e-06,200,2,False
0.53,0.15,0.69,lstm,300,1e-06,200,2,False
0.55,0.62,0.69,plain,300,1e-06,200,4,True
0.54,0.21,0.69,gru,300,1e-06,200,4,True
0.51,nan,0.69,lstm,300,1e-06,200,4,True
0.54,0.35,0.69,plain,300,1e-06,200,4,False
0.58,0.61,0.69,gru,300,1e-06,200,4,False
0.51,nan,0.69,lstm,300,1e-06,200,4,False
0.52,0.15,0.69,plain,300,1e-06,200,10,True
0.52,0.04,0.69,gru,300,1e-06,200,10,True
0.51,nan,0.69,lstm,300,1e-06,200,10,True
0.52,0.17,0.69,plain,300,1e-06,200,10,False
0.52,0.07,0.69,gru,300,1e-06,200,10,False
0.49,0.66,0.69,lstm,300,1e-06,200,10,False
0.51,0.11,0.69,plain,300,1e-06,20,2,True
0.49,0.66,0.70,gru,300,1e-06,20,2,True
0.49,0.66,0.69,lstm,300,1e-06,20,2,True
0.50,0.17,0.70,plain,300,1e-06,20,2,False
0.50,0.66,0.69,gru,300,1e-06,20,2,False
0.51,nan,0.69,lstm,300,1e-06,20,2,False
0.51,nan,0.70,plain,300,1e-06,20,4,True
0.51,nan,0.70,gru,300,1e-06,20,4,True
0.49,0.66,0.70,lstm,300,1e-06,20,4,True
0.49,0.66,0.70,plain,300,1e-06,20,4,False
0.51,nan,0.69,gru,300,1e-06,20,4,False
0.51,nan,0.69,lstm,300,1e-06,20,4,False
0.53,0.31,0.69,plain,300,1e-06,20,10,True
0.49,0.66,0.69,gru,300,1e-06,20,10,True
0.49,0.66,0.70,lstm,300,1e-06,20,10,True
0.49,0.66,0.69,plain,300,1e-06,20,10,False
0.51,nan,0.70,gru,300,1e-06,20,10,False
0.49,0.66,0.70,lstm,300,1e-06,20,10,False
0.67,0.67,0.72,plain,1000,0.001,500,2,True
0.74,0.71,1.78,gru,1000,0.001,500,2,True
0.74,0.73,1.69,lstm,1000,0.001,500,2,True
0.75,0.77,1.07,plain,1000,0.001,500,2,False
0.77,0.77,1.99,gru,1000,0.001,500,2,False
0.77,0.76,1.61,lstm,1000,0.001,500,2,False
0.51,nan,0.76,plain,1000,0.001,500,4,True
0.73,0.72,0.57,gru,1000,0.001,500,4,True
0.51,nan,0.69,lstm,1000,0.001,500,4,True
0.51,nan,0.69,plain,1000,0.001,500,4,False
0.76,0.75,1.58,gru,1000,0.001,500,4,False
0.75,0.75,1.43,lstm,1000,0.001,500,4,False
0.51,nan,0.72,plain,1000,0.001,500,10,True
0.51,nan,0.69,gru,1000,0.001,500,10,True
0.51,nan,0.69,lstm,1000,0.001,500,10,True
0.53,0.55,0.69,plain,1000,0.001,500,10,False
0.51,nan,0.69,gru,1000,0.001,500,10,False
0.51,nan,0.69,lstm,1000,0.001,500,10,False
0.66,0.69,1.03,plain,1000,0.001,200,2,True
0.76,0.75,1.76,gru,1000,0.001,200,2,True
0.75,0.77,2.19,lstm,1000,0.001,200,2,True
0.72,0.73,1.31,plain,1000,0.001,200,2,False
0.78,0.78,2.00,gru,1000,0.001,200,2,False
0.77,0.79,1.68,lstm,1000,0.001,200,2,False
0.66,0.65,0.81,plain,1000,0.001,200,4,True
0.75,0.76,1.28,gru,1000,0.001,200,4,True
0.75,0.73,1.47,lstm,1000,0.001,200,4,True
0.72,0.70,0.86,plain,1000,0.001,200,4,False
0.77,0.74,1.58,gru,1000,0.001,200,4,False
0.78,0.76,1.16,lstm,1000,0.001,200,4,False
0.53,0.48,0.69,plain,1000,0.001,200,10,True
0.51,nan,0.69,gru,1000,0.001,200,10,True
0.51,nan,0.69,lstm,1000,0.001,200,10,True
0.51,nan,0.69,plain,1000,0.001,200,10,False
0.51,nan,0.69,gru,1000,0.001,200,10,False
0.51,nan,0.69,lstm,1000,0.001,200,10,False
0.69,0.67,0.75,plain,1000,0.001,20,2,True
0.71,0.66,1.95,gru,1000,0.001,20,2,True
0.75,0.74,1.45,lstm,1000,0.001,20,2,True
0.72,0.71,1.15,plain,1000,0.001,20,2,False
0.72,0.68,2.00,gru,1000,0.001,20,2,False
0.77,0.76,1.73,lstm,1000,0.001,20,2,False
0.72,0.70,0.69,plain,1000,0.001,20,4,True
0.72,0.72,1.24,gru,1000,0.001,20,4,True
0.74,0.73,1.19,lstm,1000,0.001,20,4,True
0.75,0.72,0.98,plain,1000,0.001,20,4,False
0.76,0.74,1.73,gru,1000,0.001,20,4,False
0.75,0.73,1.53,lstm,1000,0.001,20,4,False
0.71,0.68,0.67,plain,1000,0.001,20,10,True
0.74,0.76,0.78,gru,1000,0.001,20,10,True
0.75,0.75,0.77,lstm,1000,0.001,20,10,True
0.73,0.72,0.87,plain,1000,0.001,20,10,False
0.74,0.74,1.20,gru,1000,0.001,20,10,False
0.77,0.76,0.84,lstm,1000,0.001,20,10,False
0.67,0.59,0.92,plain,1000,5e-05,500,2,True
0.73,0.70,1.33,gru,1000,5e-05,500,2,True
0.73,0.75,1.53,lstm,1000,5e-05,500,2,True
0.70,0.65,0.98,plain,1000,5e-05,500,2,False
0.75,0.72,1.16,gru,1000,5e-05,500,2,False
0.75,0.74,1.38,lstm,1000,5e-05,500,2,False
0.67,0.65,0.92,plain,1000,5e-05,500,4,True
0.72,0.70,1.26,gru,1000,5e-05,500,4,True
0.73,0.72,1.33,lstm,1000,5e-05,500,4,True
0.69,0.69,1.03,plain,1000,5e-05,500,4,False
